OBJECTID,sug,nashir,gil,koter,status,sivug,water,hibur,X,Y,X_google,Y_google
30991,,,,,,,,,180892.314,574410.207,34.79954444,31.26066088
30992,,,,,,,,,180926.666,574410.548,34.79990509,31.26066509
30993,,,,,,,,,180849.293,574400.132,34.79909315,31.26056859
30994,,,,,,,,,180803.839,574423.569,34.79861503,31.26077846
30995,,,,,,,,,181409.06,574412.05,34.8049697,31.26069447
30996,,,,,,,,,181269.83,574436.16,34.803507,31.26090737
30997,,,,,,,,,181260.42,574417.86,34.8034089,31.26074201
30998,,,,,,,,,181253.68,574423.14,34.80333794,31.26078941
30999,,,,,,,,,181273.23,574424.89,34.80354313,31.26080584
31000,,,,,,,,,181285.02,574423.51,34.80366696,31.26079378
31001,,,,,,,,,181292.71,574421.03,34.80374779,31.26077166
31002,,,,,,,,,181311.31,574417.14,34.80394322,31.26073718
31003,,,,,,,,,181318.89,574416.1,34.80402285,31.26072805
31004,,,,,,,,,181335.02,574421.52,34.80419199,31.26077746
31005,,,,,,,,,181345.84,574421.91,34.80430557,31.26078133
31006,,,,,,,,,181353.6,574421.34,34.80438707,31.26077645
31007,,,,,,,,,181363.56,574420.59,34.80449167,31.26077001
31008,,,,,,,,,181377.55,574419.73,34.80463858,31.26076271
31009,,,,,,,,,181383.08,574419.98,34.80469663,31.26076514
31010,,,,,,,,,181396.91,574420.03,34.80484183,31.26076605
31011,,,,,,,,,181405.93,574420.36,34.80493652,31.26076932
31012,,,,,,,,,181419.04,574420.5,34.80507416,31.26077101
31013,,,,,,,,,181428.58,574419.6,34.80517435,31.2607632
31014,,,,,,,,,181436.22,574418.65,34.8052546,31.26075488
31015,,,,,,,,,181466.2,574413.03,34.80556958,31.26070517
31016,,,,,,,,,181475.9,574413.54,34.8056714,31.26071009
31017,,,,,,,,,181066.964,574405.245,34.80137829,31.26062189
31018,,,,,,,,,181123.444,574419.823,34.80197071,31.26075522
31019,,,,,,,,,181100.604,574422.058,34.80173083,31.26077463
31020,,,,,,,,,181112.265,574420.717,34.80185331,31.26076292
31021,,,,,,,,,181147.879,574420.894,34.80222721,31.26076568
31022,,,,,,,,,181134.237,574420.132,34.80208402,31.26075836
31023,,,,,,,,,181305.749,574415.426,34.8038849,31.26072154
31024,,,,,,,,,181310.354,574415.037,34.80393327,31.26071819
31025,,,,,,,,,181313.793,574415.088,34.80396937,31.26071876
31026,,,,,,,,,181317.691,574415.147,34.80401029,31.26071942
31027,,,,,,,,,181322.297,574414.758,34.80405867,31.26071606
31028,,,,,,,,,181326.435,574414.591,34.80410212,31.26071469
31029,,,,,,,,,181748.2239,573160.0229,34.8085777,31.24941354
31030,,,,,,,,,181752.7541,573156.5477,34.80862539,31.24938234
31031,,,,,,,,,181563.4986,573017.7737,34.80664388,31.24812462
31032,,,,,,,,,181552.7493,572966.9143,34.80653296,31.24766557
31033,,,,,,,,,181553.6754,573011.8172,34.80654098,31.24807058
31034,,,,,,,,,181555.7782,572912.7392,34.8065668,31.24717707
31035,,,,,,,,,181510.176,572935.0187,34.80608725,31.24737652
31036,,,,,,,,,181542.8104,572892.4693,34.80643144,31.24699383
31037,,,,,,,,,181532.2092,572939.6894,34.80631836,31.24741936
31038,,,,,,,,,181525.3175,572942.6391,34.80624591,31.24744574
31039,,,,,,,,,181536.8539,572955.7548,34.80636652,31.24756441
31040,,,,,,,,,181532.7488,572987.4956,34.80632222,31.24785054
31041,,,,,,,,,181523.6258,573008.9522,34.80622564,31.24804376
31042,,,,,,,,,181523.5283,572982.074,34.80622563,31.24780135
31043,,,,,,,,,181516.0849,573013.6749,34.8061463,31.24808611
31044,,,,,,,,,181545.4503,573012.3219,34.80645462,31.24807486
31045,,,,,,,,,181549.6772,572993.7913,34.80649969,31.24790787
31046,,,,,,,,,181537.908,573008.6303,34.80637558,31.24804132
31047,,,,,,,,,181544.6511,573005.5318,34.80644648,31.2480136
31048,,,,,,,,,181652.7387,572965.8182,34.80758265,31.24765893
31049,,,,,,,,,181653.4814,572987.5016,34.80758962,31.24785451
31050,,,,,,,,,181622.9818,572890.3782,34.80727312,31.24697758
31051,,,,,,,,,181607.7609,572901.285,34.80711292,31.24707545
31052,,,,,,,,,181649.7835,572927.5808,34.80755306,31.24731397
31053,,,,,,,,,181644.2054,572940.5497,34.80749402,31.24743076
31054,,,,,,,,,181640.5676,572991.0689,34.80745393,31.24788627
31055,,,,,,,,,181656.1944,572977.2615,34.80761849,31.24776225
31056,,,,,,,,,181672.5046,572956.7646,34.80779048,31.24757792
31057,,,,,,,,,181658.3109,572938.1627,34.80764218,31.24740969
31058,,,,,,,,,181693.0803,572984.7608,34.80800542,31.24783108
31059,,,,,,,,,181707.0085,572993.9973,34.80815129,31.24791483
31060,,,,,,,,,181501.5312,573105.7675,34.80599003,31.24891621
31061,,,,,,,,,181539.004,573054.3873,34.80638536,31.24845404
31062,,,,,,,,,181510.3095,573163.2191,34.80608001,31.24943465
31063,,,,,,,,,181561.1911,573038.2683,34.80661888,31.24830938
